istituzione,logo,sedi_convenzionate,link
Politecnico di Bari,Politecnico di Bari Logo Vector.svg,Politecnico di BARI - Dipartimento di Architettura Costruzione e Design,
Università degli studi di Foggia,logo_foggia.svg,Università degli Studi di FOGGIA STUDI UMANISTICI. LETTERE BENI CULTURALI SCIENZE DELLA FORMAZIONE,
Uniba - Università degli Studi della Basilicata,unibas_2.png,Università degli Studi della BASILICATA,
Università degli Studi di Palermo,Università degli Studi di Palermo Logo Vector.svg,Università degli Studi di PALERMO Scienze Agrarie Alimentari e Forestali,
Federico II – Università degli Studi di Napoli ,University_Federico_II_Logo.svg,Università degli Studi di Napoli Federico II Architettura,
Sapienza - Università degli Studi di Roma,sapienza.svg,"Università degli Studi di ROMA ""La Sapienza"" Architettura e Progetto",
Roma 3 - Università degli Studi di Roma,roma_tre.svg,Università degli Studi ROMA TRE Architettura,
UniCa - Università degli Studi di Cagliari,unica.svg,Università degli Studi di CAGLIARI Ingegneria Civile Ambientale e Architettura,
UniPg - Università degli Studi di Perugia,unipg.svg,Università degli Studi di PERUGIA FILOSOFIA SCIENZE SOCIALI UMANE E DELLA FORMAZIONE,
Unict – Università degli studi di Catania,unict.svg,Università degli Studi di CATANIA Scienze Umanistiche,
CNR,cnr.svg,,
Bicocca,unimib.svg,,
Unisalento,unisalento.svg,,
Iuav,Logo_IUAV.svg,,
Aldo Moro – Università degli studi di Bari,uniba.svg,,
PASAP-MED,PASAP.png,,
CHANGES,logo_changes.png,,
Italia_domani,logo_italiadomani.png,,
banda unita ministero/changes/italiadomani,banda_unita.png,,
Ministero dell’Università e della ricerca,logo_Ministero.png,,
Fondazione Unione Europea,logo_nextgenerationEU.png,,
